Raiz_Planta,Tipo_Vocabulario,Folios_Origen_Botanica,Apariciones_en_Recetas,Folios_Destino_Recetas,Etiquetas_Dominantes_en_Recetas
D1A1Q1K2A1,Exclusiva (Nombre Propio),f30v,19,f108v (x4) | f111r (x3) | f89r (x2) | f99v (x2) | f89v (x1) | f95v (x1) | f99r (x1) | f100r (x1) | f106r (x1) | f113r (x1) | f113v (x1) | f115r (x1),B2:10 | C1:6 | B1:2
D1A1Q2A3,Comun (Generica),f31r | f36v,142,f114v (x14) | f104r (x13) | f104v (x10) | f106v (x9) | f107r (x9) | f111v (x9) | f113v (x8) | f115r (x8) | f103r (x7) | f115v (x7) | f114r (x6) | f103v (x5) | f112v (x5) | f116r (x5) | f107v (x3) | f108r (x3) | f108v (x3) | f113r (x3) | f95r (x2) | f95v (x2) | f105r (x2) | f111r (x2) | f112r (x2) | f89v (x1) | f94r (x1) | f94v (x1) | f105v (x1) | f106r (x1),G1:45 | F1:35 | C1:31
A2Q1K2BaA3,Exclusiva (Nombre Propio),f31r,1,f112v (x1),F1:1
A1B2L1J1A1,Exclusiva (Nombre Propio),f31r,1,f90v (x1),B1:1
A1Q2J1A1,Exclusiva (Nombre Propio),f31r,27,f102v (x3) | f113v (x3) | f89r (x2) | f101r (x2) | f112r (x2) | f88r (x1) | f88v (x1) | f90v (x1) | f93r (x1) | f100r (x1) | f102r (x1) | f104v (x1) | f105r (x1) | f106v (x1) | f107v (x1) | f108r (x1) | f111r (x1) | f112v (x1) | f113r (x1) | f116r (x1),B2:15 | C1:5 | C2:4
K1A1A3,Exclusiva (Nombre Propio),f31v,4,f104r (x1) | f106v (x1) | f114v (x1) | f115r (x1),G1:3 | C1:1
A1Q1A1,Comun (Generica),f32r | f38r | f42v | f51v | f54r,47,f89v (x6) | f99v (x6) | f101r (x4) | f102r (x4) | f88r (x2) | f89r (x2) | f99r (x2) | f100v (x2) | f101v (x2) | f107v (x2) | f108r (x2) | f114r (x2) | f88v (x1) | f90r (x1) | f93r (x1) | f95r (x1) | f96r (x1) | f105v (x1) | f106r (x1) | f113r (x1) | f113v (x1) | f114v (x1) | f115v (x1),B2:31 | C1:10 | G1:4
C2K1A1,Comun (Generica),f32r | f42v,1,f93r (x1),C2:1
B1L1A3,Exclusiva (Nombre Propio),f32r,0,NINGUNO,N/A
B1A2Q2K1A1,Exclusiva (Nombre Propio),f32r,0,NINGUNO,N/A
Q2L1B1A3,Exclusiva (Nombre Propio),f33r,0,NINGUNO,N/A
L1BaA1,Exclusiva (Nombre Propio),f33r,0,NINGUNO,N/A
D1A1Q1A3,Comun (Generica),f33r | f40r | f42r | f46r | f50r,349,f111v (x39) | f107v (x34) | f116r (x27) | f103r (x20) | f106r (x20) | f104r (x19) | f107r (x19) | f103v (x17) | f113v (x17) | f113r (x13) | f106v (x12) | f104v (x10) | f114r (x9) | f115v (x9) | f95r (x8) | f108r (x8) | f108v (x8) | f115r (x8) | f111r (x7) | f112v (x7) | f95v (x6) | f114v (x6) | f105r (x5) | f89v (x4) | f105v (x4) | f112r (x4) | f94r (x3) | f94v (x2) | f89r (x1) | f99v (x1) | f101v (x1) | f102v (x1),G1:127 | F1:99 | C1:47
Q2A3C1A3,Exclusiva (Nombre Propio),f33v,4,f113r (x2) | f107r (x1) | f107v (x1),F3:1 | G1:1 | C1:1
Q2A1Q1A3,Exclusiva (Nombre Propio),f33v,2,f103v (x1) | f116r (x1),F1:2
BaA3,Exclusiva (Nombre Propio),f33v,78,f89v (x15) | f89r (x11) | f99r (x6) | f102r (x4) | f95v (x3) | f108r (x3) | f108v (x3) | f88r (x2) | f88v (x2) | f95r (x2) | f101v (x2) | f105v (x2) | f114v (x2) | f87v (x1) | f94r (x1) | f94v (x1) | f96r (x1) | f96v (x1) | f100r (x1) | f101r (x1) | f102v (x1) | f103r (x1) | f103v (x1) | f104r (x1) | f105r (x1) | f106r (x1) | f106v (x1) | f107v (x1) | f111r (x1) | f112r (x1) | f113r (x1) | f113v (x1) | f114r (x1) | f116r (x1),G1:40 | F1:11 | C1:8
B2K1A1A3,Exclusiva (Nombre Propio),f33v,0,NINGUNO,N/A
A1B2A3,Exclusiva (Nombre Propio),f34r,43,f113v (x7) | f102r (x4) | f107v (x3) | f112r (x3) | f99r (x2) | f103v (x2) | f111r (x2) | f111v (x2) | f116r (x2) | f88v (x1) | f89v (x1) | f94r (x1) | f99v (x1) | f101r (x1) | f101v (x1) | f103r (x1) | f105v (x1) | f106v (x1) | f107r (x1) | f108r (x1) | f108v (x1) | f112v (x1) | f114r (x1) | f114v (x1) | f115v (x1),G1:25 | F1:4 | C1:4
A2Q2A3,Exclusiva (Nombre Propio),f34r,27,f107r (x5) | f106v (x4) | f105v (x3) | f104v (x2) | f114r (x2) | f115v (x2) | f94v (x1) | f95r (x1) | f101v (x1) | f105r (x1) | f106r (x1) | f107v (x1) | f113r (x1) | f114v (x1) | f115r (x1),G1:11 | C1:9 | F1:5
B2A1,Exclusiva (Nombre Propio),f34r,43,f111v (x5) | f115r (x5) | f107r (x3) | f113v (x3) | f115v (x3) | f116r (x3) | f93r (x2) | f103r (x2) | f103v (x2) | f107v (x2) | f112v (x2) | f89r (x1) | f89v (x1) | f96r (x1) | f101v (x1) | f102r (x1) | f104r (x1) | f104v (x1) | f106r (x1) | f108r (x1) | f108v (x1) | f111r (x1),C1:22 | B2:13 | H1:2
K1J1Q1A3,Exclusiva (Nombre Propio),f34r,18,f95r (x5) | f89v (x3) | f111v (x2) | f112v (x2) | f94r (x1) | f104v (x1) | f106r (x1) | f107r (x1) | f108r (x1) | f113r (x1),B2:6 | F1:5 | G1:3
L1J1A3,Exclusiva (Nombre Propio),f34v,21,f116r (x4) | f111r (x3) | f111v (x3) | f103r (x2) | f108v (x2) | f88r (x1) | f89v (x1) | f103v (x1) | f106r (x1) | f106v (x1) | f107r (x1) | f113v (x1),C1:10 | B2:9 | G1:1
A1Q2A3,Exclusiva (Nombre Propio),f34v,298,f113v (x26) | f105v (x23) | f107r (x20) | f107v (x17) | f111v (x17) | f103v (x15) | f114v (x15) | f106v (x14) | f113r (x14) | f116r (x12) | f104r (x11) | f112r (x11) | f106r (x10) | f112v (x10) | f114r (x10) | f103r (x9) | f108r (x9) | f95v (x6) | f104v (x6) | f105r (x6) | f108v (x6) | f89v (x5) | f95r (x4) | f111r (x4) | f115r (x4) | f94v (x3) | f115v (x3) | f94r (x2) | f99v (x2) | f88r (x1) | f100r (x1) | f101r (x1) | f101v (x1),G1:81 | C1:64 | B2:57
A1B2A1,Exclusiva (Nombre Propio),f35r,9,f113v (x2) | f95v (x1) | f101v (x1) | f103r (x1) | f103v (x1) | f106v (x1) | f108v (x1) | f111v (x1),C1:5 | G1:2 | C2:1
P1A3C1K1A1,Exclusiva (Nombre Propio),f35v,0,NINGUNO,N/A
Q2K1A1Q2K1A1,Exclusiva (Nombre Propio),f35v,0,NINGUNO,N/A
K1A1C2A3,Exclusiva (Nombre Propio),f35v,2,f101r (x1) | f106v (x1),G1:2
A1Q1K1A1K1A1,Exclusiva (Nombre Propio),f37r,0,NINGUNO,N/A
B1L1A1,Comun (Generica),f37v | f44r | f44v | f45v,2,f88v (x1) | f103r (x1),C1:1 | B2:1
A2A1Q1A1,Exclusiva (Nombre Propio),f37v,1,f89v (x1),C1:1
K1AaC1A1,Exclusiva (Nombre Propio),f37v,0,NINGUNO,N/A
C2A1Q1K1A1,Exclusiva (Nombre Propio),f37v,0,NINGUNO,N/A
Q2A1B2A1,Exclusiva (Nombre Propio),f38r,0,NINGUNO,N/A
