Folio,Rank,Recipe,F1,N_Overlap,Overlap_Ingredients
f112r,1,Trifera Saracenica,57.1,6,Cardamomum|Casia|Cinnamomum|Crocus|Myrrha|Piper longum
f112r,2,Electuarium Justinum,57.1,6,Cardamomum|Casia|Cinnamomum|Crocus|Myrrha|Piper longum
f112r,3,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),52.6,5,Cardamomum|Casia|Cinnamomum|Crocus|Piper longum
f112r,4,Antidotum Hadriani,52.6,5,Casia|Cinnamomum|Crocus|Myrrha|Piper longum
f112r,5,Theodoricon Euporistum,50.0,6,Cardamomum|Casia|Cinnamomum|Crocus|Myrrha|Piper longum
f112v,1,Antidotum Hadriani,52.6,5,Casia|Crocus|Mel despumatum|Myrrha|Piper longum
f112v,2,Paulinum,50.0,5,Casia|Crocus|Mel despumatum|Myrrha|Piper longum
f112v,3,Trifera Saracenica,47.6,5,Casia|Crocus|Mel despumatum|Myrrha|Piper longum
f112v,4,Electuarium Justinum,47.6,5,Casia|Crocus|Mel despumatum|Myrrha|Piper longum
f112v,5,Theriac Abulcasis (contra venenos),47.6,5,Crocus|Galbanum|Mel despumatum|Myrrha|Piper longum
f113r,1,Electuarium Justinum,64.0,8,Amomum|Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f113r,2,Theodoricon Euporistum,57.1,8,Amomum|Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f113r,3,Trifera Saracenica,56.0,7,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f113r,4,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),52.2,6,Cardamomum|Casia|Crocus|Mel despumatum|Piper longum|Piper nigrum
f113r,5,Paulinum,50.0,6,Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f113v,1,Electuarium Justinum,75.0,9,Amomum|Cardamomum|Casia|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f113v,2,Theodoricon Euporistum,66.7,9,Amomum|Cardamomum|Casia|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f113v,3,Trifera Saracenica,66.7,8,Cardamomum|Casia|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f113v,4,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),63.6,7,Cardamomum|Casia|Cinnamomum|Crocus|Mel despumatum|Piper longum|Piper nigrum
f113v,5,Paulinum,60.9,7,Casia|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f114r,1,Trifera Saracenica,63.6,7,Cardamomum|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f114r,2,Electuarium Justinum,63.6,7,Cardamomum|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f114r,3,Theriac Abulcasis (contra venenos),63.6,7,Cinnamomum|Crocus|Mel despumatum|Myrrha|Opopanax|Piper longum|Piper nigrum
f114r,4,Philonium Romanum,63.2,6,Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f114r,5,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),60.0,6,Cardamomum|Cinnamomum|Crocus|Mel despumatum|Piper longum|Piper nigrum
f114v,1,Trifera Saracenica,54.5,6,Cardamomum|Cinnamomum|Crocus|Myrrha|Piper longum|Piper nigrum
f114v,2,Electuarium Justinum,54.5,6,Cardamomum|Cinnamomum|Crocus|Myrrha|Piper longum|Piper nigrum
f114v,3,Theriac Abulcasis (contra venenos),54.5,6,Cinnamomum|Crocus|Galbanum|Myrrha|Piper longum|Piper nigrum
f114v,4,Philonium Romanum,52.6,5,Cinnamomum|Crocus|Myrrha|Piper longum|Piper nigrum
f114v,5,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),50.0,5,Cardamomum|Cinnamomum|Crocus|Piper longum|Piper nigrum
f115r,1,Electuarium Justinum,52.2,6,Amomum|Cardamomum|Casia|Crocus|Myrrha|Piper longum
f115r,2,Theodoricon Euporistum,46.2,6,Amomum|Cardamomum|Casia|Crocus|Myrrha|Piper longum
f115r,3,Suffuf al-Tib (Polvo aromatico de Avicena),44.4,4,Cardamomum|Casia|Crocus|Rosa
f115r,4,Trifera Saracenica,43.5,5,Cardamomum|Casia|Crocus|Myrrha|Piper longum
f115r,5,Electuarium Diacostum,40.0,4,Amomum|Cardamomum|Casia|Piper longum
f115v,1,Trifera Magna,55.0,11,Bdellium|Cardamomum|Cinnamomum|Crocus|Cubeba|Galanga|Mel despumatum|Myrrha|Nux moschata|Piper longum|Piper nigrum
f115v,2,Diasatyrion,53.8,7,Cardamomum|Cinnamomum|Crocus|Galanga|Mel despumatum|Nux moschata|Piper longum
f115v,3,Trifera Saracenica,53.8,7,Cardamomum|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f115v,4,Electuarium Justinum,53.8,7,Cardamomum|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f115v,5,Theriac Abulcasis (contra venenos),53.8,7,Cinnamomum|Crocus|Galbanum|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f116r,1,Trifera Magna,52.6,10,Amomum|Bdellium|Cardamomum|Casia|Crocus|Cubeba|Galanga|Myrrha|Nux moschata|Piper longum
f116r,2,Suffuf al-Tib (Polvo aromatico de Avicena),52.6,5,Cardamomum|Casia|Crocus|Galanga|Nux moschata
f116r,3,Electuarium Justinum,50.0,6,Amomum|Cardamomum|Casia|Crocus|Myrrha|Piper longum
f116r,4,Diamargariton (Electuario de Perlas),46.2,6,Cardamomum|Casia|Crocus|Cubeba|Galanga|Nux moschata
f116r,5,Diarodon Abbatis,46.2,6,Cardamomum|Casia|Crocus|Cubeba|Galanga|Nux moschata
f116v,1,Theriac Magna (Triaca de Andromachus),0.0,0,
f116v,2,Mithridatium,0.0,0,
f116v,3,Diascordium,0.0,0,
f116v,4,Pillulae Cochiae,0.0,0,
f116v,5,Pillulae Aureae,0.0,0,
